hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,label,
55.96924,0.970459,12.28943,-0.03940582,0.7470703,-1.594238,sidetoside,
0.7324219,-1.052856,2.511597,-0.1754284,0.8145142,-1.797581,sidetoside,
94.18945,13.28888,-45.89233,-2.637053,1.784821,-14.81992,sidetoside,
40.53955,4.882813,-28.67737,-3.540878,2.312164,-19.56452,sidetoside,
-132.9407,-26.49536,112.6099,-1.153498,0.7972717,-5.56571,sidetoside,
89.54468,32.16858,-38.05237,-2.970762,2.108612,-13.53436,sidetoside,
9.967041,-0.189209,-10.61096,-3.380871,0.9393311,-11.66005,sidetoside,
-47.90039,-17.4118,22.17407,-2.455535,0.0793457,-6.955891,sidetoside,
10.83984,-7.052612,12.2345,-2.821946,-0.7493591,-2.357635,sidetoside,
32.75757,-0.5081177,-1.904297,-3.66025,-1.440735,-0.0164032,sidetoside,
4.498291,-7.661438,46.72241,-5.947189,-3.404083,7.066212,sidetoside,
75.10986,-7.850647,47.43347,-11.00295,-6.951599,17.47773,sidetoside,
-106.2195,-16.06903,23.05603,-7.86212,-4.868927,9.691801,sidetoside,
-95.35522,-7.878113,37.08801,-5.590739,-3.195953,1.771469,sidetoside,
-9.710693,-10.24017,17.34009,-6.066816,-3.009796,-0.4795742,sidetoside,
-39.47754,-18.7439,9.613037,-5.027549,-1.099548,-8.067913,sidetoside,
3.082275,-3.356934,8.370972,-5.263591,-1.142731,-8.453131,sidetoside,
-22.27783,17.16309,30.62134,-5.509815,0.4049683,-21.22958,sidetoside,
11.49902,20.12024,-72.57996,-3.599677,0.2548218,-15.49234,sidetoside,
-10.21729,38.7146,-56.61621,-3.598238,0.08880615,-21.60591,sidetoside,
-2.355957,-12.5,-5.584717,-3.530841,0.07385254,-21.33211,sidetoside,
49.18213,59.7229,-109.0942,-0.8403492,-2.447052,-2.359903,sidetoside,
5.218506,27.17438,-31.34155,-1.17,-3.487396,-3.093596,sidetoside,
19.11621,-25.89874,-5.804443,-1.016051,-3.861084,-0.2364802,sidetoside,
-18.7439,-40.45258,56.65283,-0.4995909,-1.876526,-0.1110148,sidetoside,
20.91064,5.265808,-109.9579,-1.359102,-5.961304,-1.310287,sidetoside,
-24.32251,-39.00604,91.76941,-0.5800685,-2.649841,-0.7624435,sidetoside,
-12.06055,-55.44891,-113.5468,0.0762096,-2.483826,-5.075247,sidetoside,
-13.90381,-47.97974,-53.17383,0.8075961,-1.191406,-7.804259,sidetoside,
-23.18726,-3.627014,74.44153,1.499166,0.5755615,-5.314345,sidetoside,
-54.1687,-69.38477,-11.66382,3.573276,3.391418,-5.618271,sidetoside,
19.20776,97.68829,71.42334,2.817445,2.955627,3597.024,sidetoside,
-8.251953,10.5011,0.8575439,3.115419,3.32489,-2.812195,sidetoside,
-40.55176,-5.992126,-35.58655,4.678943,4.129486,-3.901062,sidetoside,
15.71655,30.4657,32.36694,3.998047,2.887726,-3.100586,sidetoside,
20.74585,21.26312,37.81738,4.547279,1.482086,-3.807068,sidetoside,
-20.55664,14.35547,5.679321,7.657437,0.6484985,-6.731262,sidetoside,
86.96899,13.68866,63.33618,3.659251,-0.7521057,-3.633118,sidetoside,
64.08691,13.33771,50.0061,1.588027,-2.035828,-2.277527,sidetoside,
5.36499,-1.63269,-1.312256,1.003866,-1.808472,-1.564941,sidetoside,
70.89844,16.6626,45.07141,0.1878548,-2.915497,-0.8666992,sidetoside,
-5.706787,-2.200317,-5.862427,0.08523464,-2.709351,-0.6185913,sidetoside,
69.14063,15.32745,23.94409,-1.386399,-3.122253,2.256775,sidetoside,
