r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
-0.2359658,0.03625154,0.6153226,-15.90341,-1.769851,-1.830411,
-0.02057552,-0.09319782,-0.1018643,-12.96435,-1.6073,-1.093845,
-0.002323836,-0.03857613,0.1923919,-7.317855,-1.107138,-0.3227282,
0.04397035,0.002348423,-0.1019478,-8.055964,-1.287961,-0.3491783,
0.1737431,0.02332926,-0.09840727,-5.189438,-1.132038,-0.3198576,
1.117587E-05,-0.199306,0.1642466,-4.349353,-1.011468,-0.4036522,
0.2169862,-0.2561808,0.06853342,0.5200195,-0.9019065,-3.522887,
0.2220698,-1.166022,-0.01661777,1.180539,-1.361985,-5.531511,
-0.5552217,0.8390307,0.8480787,3.633223,-0.6057248,-4.00526,
-0.02510622,0.01212358,0.02006292,3.198073,-0.5448335,-3.546081,
0.1130473,-0.004255772,0.1410365,5.705471,-1.791283,-5.642142,
0.01202412,0.06285906,0.005209446,5.942156,3597.822,-5.740452,
-0.05164929,0.195384,-0.1953125,4.693613,-1.399536,-3.203831,
0.0103116,0.009977818,-0.01018047,4.995303,-1.456299,-3.158793,
-0.1302462,0.09756088,0.08887053,6.098685,1.130981,0.1048827,
-0.08394122,0.06582737,0.06145239,6.777811,-3597.087,2.361391,
-0.02715439,0.03015995,-0.3500342,0.7398558,1.959195,1.138616,
-0.05079024,0.1060009,-0.1615524,-1.128263,3.669832,1.835446,
0.09407401,-0.03861189,0.1249433,-1.486783,1.705993,0.2823019,
0.08641817,0.1813173,0.04458427,-3.984523,2.683909,-0.5370998,
-0.05129315,-0.1617789,-0.02906322,-1.998153,0.8933246,-0.3287363,
0.08177571,0.3879786,-0.1800179,-5.469074,0.3384316,-1.17209,
-0.3857166,0.4629016,0.0805974,-7.82865,-0.5175889,1.691117,
-0.483802,-0.2598763,0.5396008,-8.02397,-1.317568,4.272623,
0.09468719,-0.8184075,-0.2979636,-5.339828,-1.190393,3.779912,
0.1103368,-0.1486778,0.1677155,-1.269801,-1.098567,3.293715,
