a_x,a_y,a_z,g_x,g_y,g_z,label,
-2.3,-7.89,-1.64,-1.71,-0.16,-0.23,sidecrunch,
-1.82,-6.72,-2.07,-1.98,-0.44,-0.26,sidecrunch,
-1.38,-5.55,-2.15,-2.34,-0.55,-0.3,sidecrunch,
-0.94,-3.97,-1.66,-2.85,-0.57,-0.41,sidecrunch,
-0.6,-2.59,-0.65,-3.15,-0.63,-0.5,sidecrunch,
-0.32,-1.35,-0.31,-3.23,-0.69,-0.58,sidecrunch,
0.21,0.18,-0.39,-3.34,-0.64,-0.59,sidecrunch,
10.49,-2.58,-31.36,-3.43,-0.38,-0.64,sidecrunch,
0.21,1.12,1.03,-3.32,0.42,-0.69,sidecrunch,
0.42,1.54,1.21,-3.22,0.52,-0.72,sidecrunch,
0.24,1.89,1.08,-3.35,0.56,-0.9,sidecrunch,
0.44,2.22,2.35,-3.44,0.3,-1,sidecrunch,
0.36,2.27,2.56,-3.3,0.32,-1.11,sidecrunch,
-0.26,2.13,4,-2.96,0.13,-1.22,sidecrunch,
-0.51,1.66,4.56,-2.52,-0.25,-1.21,sidecrunch,
-0.45,1.59,4.5,-2.21,-0.58,-1.18,sidecrunch,
-0.21,1.47,4.12,-2.06,-0.83,-1.17,sidecrunch,
0.05,1.33,3.7,-1.98,-0.97,-1.25,sidecrunch,
0.15,1.15,3.43,-1.82,-1.15,-1.28,sidecrunch,
0.45,0.84,3.25,-1.64,-1.28,-1.21,sidecrunch,
0.83,0.78,2.85,-1.5,-1.33,-1.25,sidecrunch,
0.76,0.75,2.55,-1.74,-1.51,-1.43,sidecrunch,
0.7,0.73,2.45,-1.88,-1.64,-1.51,sidecrunch,
0.81,0.77,2.12,-1.81,-1.67,-1.48,sidecrunch,
0.83,0.53,1.61,-1.61,-1.46,-1.36,sidecrunch,
0.63,0.36,1.55,-1.47,-1.22,-1.21,sidecrunch,
0.22,-0.03,1.46,-1.25,-1.02,-1.02,sidecrunch,
-0.08,-0.34,1.3,-0.89,-0.75,-0.61,sidecrunch,
-0.37,-0.73,1.26,-0.35,-0.24,-0.08,sidecrunch,
-0.74,-1.05,1.47,0.36,0.31,0.54,sidecrunch,
-1.22,-1.24,1.53,0.87,0.77,1.11,sidecrunch,
-1.44,-1.33,1.73,1.27,1.12,1.59,sidecrunch,
-1.61,-1.42,1.96,1.52,1.3,1.88,sidecrunch,
-1.81,-1.35,2.3,1.81,1.53,2.17,sidecrunch,
-1.95,-1.22,3.02,2.13,1.7,2.37,sidecrunch,
-2.04,-1.04,3.25,2.3,1.76,2.38,sidecrunch,
-1.68,-1.17,2.99,2.19,1.31,2.23,sidecrunch,
-1.43,-0.68,2.47,1.55,0.84,1.74,sidecrunch,
-0.77,-0.44,2.03,0.85,0.37,1.16,sidecrunch,
